timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/12/07 10:13:28.161,1970,YAHOO HOME PAGE,200,OK,Thread Group 1-2,text,true,,140980,115,5,5,https://www.yahoo.com/,1485,0,666
2023/12/07 10:13:27.690,2474,YAHOO HOME PAGE,200,OK,Thread Group 1-1,text,true,,139145,115,5,5,https://www.yahoo.com/,1974,0,1135
2023/12/07 10:13:28.724,1856,YAHOO HOME PAGE,200,OK,Thread Group 1-3,text,true,,139144,115,6,6,https://www.yahoo.com/,1361,0,411
2023/12/07 10:13:29.280,1780,YAHOO HOME PAGE,200,OK,Thread Group 1-4,text,true,,139436,115,7,7,https://www.yahoo.com/,1267,0,396
2023/12/07 10:13:29.835,1710,YAHOO HOME PAGE,200,OK,Thread Group 1-5,text,true,,139034,115,8,8,https://www.yahoo.com/,1226,0,388
2023/12/07 10:13:30.391,1715,YAHOO HOME PAGE,200,OK,Thread Group 1-6,text,true,,139166,115,9,9,https://www.yahoo.com/,1220,0,389
2023/12/07 10:13:30.949,1768,YAHOO HOME PAGE,200,OK,Thread Group 1-7,text,true,,139159,115,10,10,https://www.yahoo.com/,1284,0,397
2023/12/07 10:13:30.165,3683,YAHOO FINANCE PAGE,200,OK,Thread Group 1-1,text,true,,1403954,135,10,10,https://finance.yahoo.com/trending-tickers,1417,0,872
2023/12/07 10:13:32.054,1835,YAHOO HOME PAGE,200,OK,Thread Group 1-9,text,true,,140825,115,10,10,https://www.yahoo.com/,1273,0,400
2023/12/07 10:13:31.500,2449,YAHOO HOME PAGE,200,OK,Thread Group 1-8,text,true,,139051,115,10,10,https://www.yahoo.com/,1545,0,399
2023/12/07 10:13:30.134,3834,YAHOO FINANCE PAGE,200,OK,Thread Group 1-2,text,true,,1404223,135,10,10,https://finance.yahoo.com/trending-tickers,1431,0,915
2023/12/07 10:13:30.582,3828,YAHOO FINANCE PAGE,200,OK,Thread Group 1-3,text,true,,1403497,135,10,10,https://finance.yahoo.com/trending-tickers,1065,0,454
2023/12/07 10:13:32.604,1848,YAHOO HOME PAGE,200,OK,Thread Group 1-10,text,true,,141299,115,10,10,https://www.yahoo.com/,1383,0,526
2023/12/07 10:13:33.849,1116,YAHOO HOME PAGE,200,OK,Thread Group 1-1,text,true,,139176,115,10,10,https://www.yahoo.com/,603,0,0
2023/12/07 10:13:33.969,1453,YAHOO HOME PAGE,200,OK,Thread Group 1-2,text,true,,139179,115,10,10,https://www.yahoo.com/,938,0,0
2023/12/07 10:13:31.061,4400,YAHOO FINANCE PAGE,200,OK,Thread Group 1-4,text,true,,1403372,135,10,10,https://finance.yahoo.com/trending-tickers,1025,0,388
2023/12/07 10:13:34.411,1328,YAHOO HOME PAGE,200,OK,Thread Group 1-3,text,true,,140937,115,10,10,https://www.yahoo.com/,832,0,0
2023/12/07 10:13:33.890,2380,YAHOO FINANCE PAGE,200,OK,Thread Group 1-9,text,true,,1403593,135,10,10,https://finance.yahoo.com/trending-tickers,921,0,387
2023/12/07 10:13:33.950,2651,YAHOO FINANCE PAGE,200,OK,Thread Group 1-8,text,true,,1403112,135,10,10,https://finance.yahoo.com/trending-tickers,969,0,385
2023/12/07 10:13:35.462,1963,YAHOO HOME PAGE,200,OK,Thread Group 1-4,text,true,,140873,115,10,10,https://www.yahoo.com/,1045,0,0
2023/12/07 10:13:34.455,3060,YAHOO FINANCE PAGE,200,OK,Thread Group 1-10,text,true,,1403483,135,10,10,https://finance.yahoo.com/trending-tickers,990,0,435
2023/12/07 10:13:35.422,2181,YAHOO FINANCE PAGE,200,OK,Thread Group 1-2,text,true,,1403708,135,10,10,https://finance.yahoo.com/trending-tickers,622,0,0
2023/12/07 10:13:36.271,1498,YAHOO HOME PAGE,200,OK,Thread Group 1-9,text,true,,139003,115,10,10,https://www.yahoo.com/,1015,0,0
2023/12/07 10:13:36.602,1359,YAHOO HOME PAGE,200,OK,Thread Group 1-8,text,true,,139012,115,10,10,https://www.yahoo.com/,847,0,0
2023/12/07 10:13:34.966,3322,YAHOO FINANCE PAGE,200,OK,Thread Group 1-1,text,true,,1403773,135,10,10,https://finance.yahoo.com/trending-tickers,1094,0,0
2023/12/07 10:13:37.515,1321,YAHOO HOME PAGE,200,OK,Thread Group 1-10,text,true,,140874,115,10,10,https://www.yahoo.com/,824,0,0
2023/12/07 10:13:38.289,1309,YAHOO HOME PAGE,200,OK,Thread Group 1-1,text,true,,139144,115,10,10,https://www.yahoo.com/,796,0,0
2023/12/07 10:13:37.770,1990,YAHOO FINANCE PAGE,200,OK,Thread Group 1-9,text,true,,1404447,135,10,10,https://finance.yahoo.com/trending-tickers,635,0,0
2023/12/07 10:13:35.740,4091,YAHOO FINANCE PAGE,200,OK,Thread Group 1-3,text,true,,1403193,135,10,10,https://finance.yahoo.com/trending-tickers,573,0,0
2023/12/07 10:13:37.604,2635,YAHOO HOME PAGE,200,OK,Thread Group 1-2,text,true,,140859,115,10,10,https://www.yahoo.com/,820,0,0
2023/12/07 10:13:32.108,8777,YAHOO FINANCE PAGE,200,OK,Thread Group 1-6,text,true,,1403712,135,10,10,https://finance.yahoo.com/trending-tickers,978,0,392
2023/12/07 10:13:38.837,2059,YAHOO FINANCE PAGE,200,OK,Thread Group 1-10,text,true,,1403488,135,10,10,https://finance.yahoo.com/trending-tickers,573,0,0
2023/12/07 10:13:39.760,1373,YAHOO HOME PAGE,200,OK,Thread Group 1-9,text,true,,139051,115,10,10,https://www.yahoo.com/,806,0,0
2023/12/07 10:13:39.832,1877,YAHOO HOME PAGE,200,OK,Thread Group 1-3,text,true,,139012,115,10,10,https://www.yahoo.com/,1385,0,0
2023/12/07 10:13:37.426,4446,YAHOO FINANCE PAGE,200,OK,Thread Group 1-4,text,true,,1403452,135,10,10,https://finance.yahoo.com/trending-tickers,635,0,0
2023/12/07 10:13:40.886,1560,YAHOO HOME PAGE,200,OK,Thread Group 1-6,text,true,,138910,115,10,10,https://www.yahoo.com/,1072,0,0
2023/12/07 10:13:40.239,2267,YAHOO FINANCE PAGE,200,OK,Thread Group 1-2,text,true,,1403307,135,10,10,https://finance.yahoo.com/trending-tickers,602,0,0
2023/12/07 10:13:40.897,1681,YAHOO HOME PAGE,200,OK,Thread Group 1-10,text,true,,140503,115,10,10,https://www.yahoo.com/,1189,0,0
2023/12/07 10:13:39.599,3139,YAHOO FINANCE PAGE,200,OK,Thread Group 1-1,text,true,,1404668,135,10,10,https://finance.yahoo.com/trending-tickers,588,0,0
2023/12/07 10:13:41.134,2414,YAHOO FINANCE PAGE,200,OK,Thread Group 1-9,text,true,,1403660,135,10,10,https://finance.yahoo.com/trending-tickers,539,0,0
2023/12/07 10:13:41.873,1895,YAHOO HOME PAGE,200,OK,Thread Group 1-4,text,true,,139167,115,10,10,https://www.yahoo.com/,1392,0,0
2023/12/07 10:13:42.507,1298,YAHOO HOME PAGE,200,OK,Thread Group 1-2,text,true,,140843,115,10,10,https://www.yahoo.com/,799,0,0
2023/12/07 10:13:42.739,1315,YAHOO HOME PAGE,200,OK,Thread Group 1-1,text,true,,140866,115,10,10,https://www.yahoo.com/,817,0,0
2023/12/07 10:13:37.961,6417,YAHOO FINANCE PAGE,200,OK,Thread Group 1-8,text,true,,1403202,135,10,10,https://finance.yahoo.com/trending-tickers,529,0,0
2023/12/07 10:13:43.548,1498,YAHOO HOME PAGE,200,OK,Thread Group 1-9,text,true,,141164,115,10,10,https://www.yahoo.com/,769,0,0
2023/12/07 10:13:31.547,13519,YAHOO FINANCE PAGE,200,OK,Thread Group 1-5,text,true,,1403776,135,10,10,https://finance.yahoo.com/trending-tickers,955,0,387
2023/12/07 10:13:42.579,2816,YAHOO FINANCE PAGE,200,OK,Thread Group 1-10,text,true,,1404089,135,10,10,https://finance.yahoo.com/trending-tickers,1035,0,0
2023/12/07 10:13:44.379,1453,YAHOO HOME PAGE,200,OK,Thread Group 1-8,text,true,,139043,115,10,10,https://www.yahoo.com/,958,0,0
2023/12/07 10:13:41.709,4176,YAHOO FINANCE PAGE,200,OK,Thread Group 1-3,text,true,,1402949,135,10,10,https://finance.yahoo.com/trending-tickers,525,0,0
2023/12/07 10:13:43.805,2342,YAHOO FINANCE PAGE,200,OK,Thread Group 1-2,text,true,,1404320,135,10,10,https://finance.yahoo.com/trending-tickers,606,0,0
2023/12/07 10:13:45.067,1335,YAHOO HOME PAGE,200,OK,Thread Group 1-5,text,true,,140929,115,10,10,https://www.yahoo.com/,872,0,0
2023/12/07 10:13:32.718,14107,YAHOO FINANCE PAGE,200,OK,Thread Group 1-7,text,true,,1403658,135,10,10,https://finance.yahoo.com/trending-tickers,1262,0,508
2023/12/07 10:13:45.886,1272,YAHOO HOME PAGE,200,OK,Thread Group 1-3,text,true,,139174,115,10,10,https://www.yahoo.com/,759,0,0
2023/12/07 10:13:44.054,3206,YAHOO FINANCE PAGE,200,OK,Thread Group 1-1,text,true,,1403985,135,10,10,https://finance.yahoo.com/trending-tickers,538,0,0
2023/12/07 10:13:45.046,2233,YAHOO FINANCE PAGE,200,OK,Thread Group 1-9,text,true,,1403129,135,10,10,https://finance.yahoo.com/trending-tickers,531,0,0
2023/12/07 10:13:46.147,1235,YAHOO HOME PAGE,200,OK,Thread Group 1-2,text,true,,140859,115,10,10,https://www.yahoo.com/,834,0,0
2023/12/07 10:13:45.396,2699,YAHOO HOME PAGE,200,OK,Thread Group 1-10,text,true,,139012,115,10,10,https://www.yahoo.com/,885,0,0
2023/12/07 10:13:46.826,1453,YAHOO HOME PAGE,200,OK,Thread Group 1-7,text,true,,139036,115,10,10,https://www.yahoo.com/,959,0,0
2023/12/07 10:13:43.769,4716,YAHOO FINANCE PAGE,200,OK,Thread Group 1-4,text,true,,1403141,135,10,10,https://finance.yahoo.com/trending-tickers,560,0,0
2023/12/07 10:13:47.261,1383,YAHOO HOME PAGE,200,OK,Thread Group 1-1,text,true,,139028,115,10,10,https://www.yahoo.com/,884,0,0
2023/12/07 10:13:47.280,1437,YAHOO HOME PAGE,200,OK,Thread Group 1-9,text,true,,139156,115,10,10,https://www.yahoo.com/,895,0,0
2023/12/07 10:13:47.383,2278,YAHOO FINANCE PAGE,200,OK,Thread Group 1-2,text,true,,1404568,135,10,10,https://finance.yahoo.com/trending-tickers,642,0,0
2023/12/07 10:13:48.486,1381,YAHOO HOME PAGE,200,OK,Thread Group 1-4,text,true,,139167,115,9,9,https://www.yahoo.com/,821,0,0
2023/12/07 10:13:42.447,7507,YAHOO FINANCE PAGE,200,OK,Thread Group 1-6,text,true,,1404519,135,9,9,https://finance.yahoo.com/trending-tickers,808,0,0
2023/12/07 10:13:46.403,4349,YAHOO FINANCE PAGE,200,OK,Thread Group 1-5,text,true,,1403529,135,9,9,https://finance.yahoo.com/trending-tickers,644,0,0
2023/12/07 10:13:48.095,2675,YAHOO FINANCE PAGE,200,OK,Thread Group 1-10,text,true,,1403664,135,9,9,https://finance.yahoo.com/trending-tickers,616,0,0
2023/12/07 10:13:49.954,1290,YAHOO HOME PAGE,200,OK,Thread Group 1-6,text,true,,141126,115,9,9,https://www.yahoo.com/,791,0,0
2023/12/07 10:13:47.159,4177,YAHOO FINANCE PAGE,200,OK,Thread Group 1-3,text,true,,1403623,135,9,9,https://finance.yahoo.com/trending-tickers,509,0,0
2023/12/07 10:13:48.279,3664,YAHOO FINANCE PAGE,200,OK,Thread Group 1-7,text,true,,1402583,135,9,9,https://finance.yahoo.com/trending-tickers,662,0,0
2023/12/07 10:13:48.718,3268,YAHOO FINANCE PAGE,200,OK,Thread Group 1-9,text,true,,1403683,135,9,9,https://finance.yahoo.com/trending-tickers,659,0,0
2023/12/07 10:13:50.753,1308,YAHOO HOME PAGE,200,OK,Thread Group 1-5,text,true,,139112,115,8,8,https://www.yahoo.com/,821,0,0
2023/12/07 10:13:50.771,1327,YAHOO HOME PAGE,200,OK,Thread Group 1-10,text,true,,139366,115,8,8,https://www.yahoo.com/,839,0,0
2023/12/07 10:13:48.645,3816,YAHOO FINANCE PAGE,200,OK,Thread Group 1-1,text,true,,1403923,135,8,8,https://finance.yahoo.com/trending-tickers,558,0,0
2023/12/07 10:13:51.337,1305,YAHOO HOME PAGE,200,OK,Thread Group 1-3,text,true,,139073,115,7,7,https://www.yahoo.com/,811,0,0
2023/12/07 10:13:45.833,7073,YAHOO FINANCE PAGE,200,OK,Thread Group 1-8,text,true,,1404304,135,7,7,https://finance.yahoo.com/trending-tickers,506,0,0
2023/12/07 10:13:51.943,1327,YAHOO HOME PAGE,200,OK,Thread Group 1-7,text,true,,139057,115,7,7,https://www.yahoo.com/,845,0,0
2023/12/07 10:13:52.099,2172,YAHOO FINANCE PAGE,200,OK,Thread Group 1-10,text,true,,1403544,135,7,7,https://finance.yahoo.com/trending-tickers,519,0,0
