timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704690723375,477,Continents-GraphQL API,200,,Thread Group 1-1,text,true,,1144,259,2,2,https://countries.trevorblades.com/,474,0,344
1704690723856,97,Countries-GraphQL API,200,,Thread Group 1-1,text,true,,22473,349,2,2,https://countries.trevorblades.com/,65,0,0
1704690723818,160,Continents-GraphQL API,200,,Thread Group 1-2,text,true,,1144,259,2,2,https://countries.trevorblades.com/,159,0,45
1704690723978,72,Countries-GraphQL API,200,,Thread Group 1-2,text,true,,22473,349,2,2,https://countries.trevorblades.com/,68,0,0
1704690723954,109,States-GraphQL API,200,,Thread Group 1-1,text,true,,63421,427,2,2,https://countries.trevorblades.com/,67,0,0
1704690724063,56,Continents-GraphQL API,200,,Thread Group 1-1,text,true,,1144,259,2,2,https://countries.trevorblades.com/,56,0,0
1704690724051,106,States-GraphQL API,200,,Thread Group 1-2,text,true,,63421,427,2,2,https://countries.trevorblades.com/,74,0,0
1704690724120,76,Countries-GraphQL API,200,,Thread Group 1-1,text,true,,22473,349,2,2,https://countries.trevorblades.com/,75,0,0
1704690724157,63,Continents-GraphQL API,200,,Thread Group 1-2,text,true,,1144,259,2,2,https://countries.trevorblades.com/,63,0,0
1704690724196,78,States-GraphQL API,200,,Thread Group 1-1,text,true,,63421,427,2,2,https://countries.trevorblades.com/,67,0,0
1704690724221,67,Countries-GraphQL API,200,,Thread Group 1-2,text,true,,22473,349,2,2,https://countries.trevorblades.com/,66,0,0
1704690724274,60,Continents-GraphQL API,200,,Thread Group 1-1,text,true,,1144,259,2,2,https://countries.trevorblades.com/,60,0,0
1704690724288,81,States-GraphQL API,200,,Thread Group 1-2,text,true,,63421,427,3,3,https://countries.trevorblades.com/,75,0,0
1704690724335,66,Countries-GraphQL API,200,,Thread Group 1-1,text,true,,22473,349,3,3,https://countries.trevorblades.com/,66,0,0
1704690724370,91,Continents-GraphQL API,200,,Thread Group 1-2,text,true,,1144,259,3,3,https://countries.trevorblades.com/,91,0,0
1704690724402,74,States-GraphQL API,200,,Thread Group 1-1,text,true,,63421,427,3,3,https://countries.trevorblades.com/,65,0,0
1704690724345,162,Continents-GraphQL API,200,,Thread Group 1-3,text,true,,1144,259,2,2,https://countries.trevorblades.com/,162,0,50
1704690724462,67,Countries-GraphQL API,200,,Thread Group 1-2,text,true,,22473,349,2,2,https://countries.trevorblades.com/,67,0,0
1704690724508,66,Countries-GraphQL API,200,,Thread Group 1-3,text,true,,22473,349,2,2,https://countries.trevorblades.com/,61,0,0
1704690724530,71,States-GraphQL API,200,,Thread Group 1-2,text,true,,63421,427,2,2,https://countries.trevorblades.com/,67,0,0
1704690724574,95,States-GraphQL API,200,,Thread Group 1-3,text,true,,63421,427,1,1,https://countries.trevorblades.com/,65,0,0
1704690724670,62,Continents-GraphQL API,200,,Thread Group 1-3,text,true,,1144,259,1,1,https://countries.trevorblades.com/,62,0,0
1704690724732,65,Countries-GraphQL API,200,,Thread Group 1-3,text,true,,22473,349,1,1,https://countries.trevorblades.com/,64,0,0
1704690724798,74,States-GraphQL API,200,,Thread Group 1-3,text,true,,63421,427,2,2,https://countries.trevorblades.com/,68,0,0
1704690724873,60,Continents-GraphQL API,200,,Thread Group 1-3,text,true,,1144,259,2,2,https://countries.trevorblades.com/,60,0,0
